query,response,response_time,response_length,has_response,not_found_response
What is the deadline for course registration?,"Here's what I found that might be relevant:

for the 2023-2024 school year will be: 8:15am until 3:15 pm (8210). Each day, students attend classes for eight periods. Student’s individual schedules will be provided at the beginning of the school year. Schedule changes will not be permitted unless a unique circumstance exists. Requests for a schedule change should be made through the School Counselor. The school building will open at 7:30 am. Any student who enters school prior to 8:15 am or stays after 3:15 pm must remain in assigned areas. For safety reasons, students will not be permitted to leave the premises once they enter the school building in the morning. Students must also abide by the handbook policy on Before/After School Time in Section IV (The Student Code of Conduct). 1.3 EMERGENCY CLOSINGS AND NOTIFICATIONS If on-site c...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.23982572555541992,961,True,False
How do I drop a course?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.05249643325805664,297,True,True
What are the library hours?,"Here's what I found that might be relevant:

for the 2023-2024 school year will be: 8:15am until 3:15 pm (8210). Each day, students attend classes for eight periods. Student’s individual schedules will be provided at the beginning of the school year. Schedule changes will not be permitted unless a unique circumstance exists. Requests for a schedule change should be made through the School Counselor. The school building will open at 7:30 am. Any student who enters school prior to 8:15 am or stays after 3:15 pm must remain in assigned areas. For safety reasons, students will not be permitted to leave the premises once they enter the school building in the morning. Students must also abide by the handbook policy on Before/After School Time in Section IV (The Student Code of Conduct). 1.3 EMERGENCY CLOSINGS AND NOTIFICATIONS If on-site c...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.043359994888305664,961,True,False
When do classes start?,"Here's what I found that might be relevant:

for the 2023-2024 school year will be: 8:15am until 3:15 pm (8210). Each day, students attend classes for eight periods. Student’s individual schedules will be provided at the beginning of the school year. Schedule changes will not be permitted unless a unique circumstance exists. Requests for a schedule change should be made through the School Counselor. The school building will open at 7:30 am. Any student who enters school prior to 8:15 am or stays after 3:15 pm must remain in assigned areas. For safety reasons, students will not be permitted to leave the premises once they enter the school building in the morning. Students must also abide by the handbook policy on Before/After School Time in Section IV (The Student Code of Conduct). 1.3 EMERGENCY CLOSINGS AND NOTIFICATIONS If on-site c...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.06860733032226562,961,True,False
What is the refund policy?,"Here's what I found that might be relevant:

service • Apology • Counseling • In School Suspension • Suspension • Expulsion STEM has laid out its Complaint Procedure step-by-step in the School’s Policy Against Discrimination and Unlawful Harassment. A copy of the Policy is attached to this Handbook as Appendix A. The Policy can also be found online on the STEM website. To access the policy online, simply click on the “Current Families” tab and then the “Safety Resources and Polices” link. 36 4.17 EXTORTION Extortion is considered the use of threat, intimidation, force or deception to take or receive something from someone else. Extortion will result in out-of-school suspension and possible expulsion. 4.18 CHEATING, PLAGIARISM AND HONOR POLICY Cheating includes, but is not limited to, the following: • Stealing others’ projects or work...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.03485536575317383,961,True,False
How do I apply for financial aid?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.030735015869140625,297,True,True
What are the graduation requirements?,"Here's what I found that might be relevant:

special education may be exempted from state or nationally mandated assessments. This exemption will be determined by the student’s Individualized Education Plan (IEP) Team. Unless exempted according to State of Ohio rules/laws, each student must pass all portions of the State-mandated assessment test required for graduation. 2.5 GRADES Report cards will be distributed quarterly. Course credit is assigned upon completion of the course. Credit will not be awarded for courses marked as “Incomplete” or “Failed.” STEM Grading Scale A 89.5% or higher B 79.5% to 89.4% C 69.5% to 79.4% F 0-69.4% The STEM grading scale will be: A, B, C or F. I (In Progress) designation will only be used on a case-by-case basis. Report cards will have numeric grades (grading scale above), alpha grades will appear o...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.018993854522705078,961,True,False
How do I change my major?,"I couldn't find specific information about that topic in the academic documents. You might want to:

• Rephrase your question with different keywords
• Contact the academic office directly
• Check the university website for the most current information

Is there anything else I can help you with?",0.023898601531982422,297,True,True
What is the attendance policy?,"Here's what I found that might be relevant:

civil and criminal penalties in accordance with law. The Superintendent/CAO shall distribute this policy to all students, Board employees, consultants, and volunteers, and shall incorporate it into building, staff, and student handbooks. It shall also be posted on the District’s website. This policy shall be the subject of discussion at employee staff meetings or in-service programs. Board employees, consultants, alumni, and volunteers shall not intentionally remain ignorant of hazing or potential hazing activities. (Revised and Approved by Board, December 2021) 52

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.01892876625061035,729,True,False
How do I access my transcript?,"Here's what I found that might be relevant:

provided upon request to any individual (other than a for profit organization) without the written consent of the parent under the Family Rights and Privacy Act (FERPA). “Directory information” is the student’s name, photograph, address, age, field of study, dates of attendance, grade level, and participation in extracurricular activities and clubs. The primary purpose of directory information is to allow STEM to include this type of information from your child’s education records in certain school publications and through social media/internet. Examples include: • The annual yearbook; • Honor roll or other recognition lists; • Graduation programs; and • Extracurricular activity sheets (promotion of the events and activities and awards) STEM may also receive federal funds under the Element...

*If this doesn't fully answer your question, please contact the academic office for more specific information.*",0.05054020881652832,961,True,False
